segment_start;segment_end;label;instrument
0.0;2.873469387;silence;
2.873469387;49.959183673000005;intro;ts,key,g,dr
49.959183673000005;95.73877551;theme_01_01;ts,key,g,dr
95.73877551;128.653061224;theme_01_02;ts,key,g,dr
128.653061224;174.236734693;solo_01_01;s_g,b_key,b_dr
174.236734693;219.55918367299998;solo_01_02;s_g,b_key,b_dr
219.55918367299998;263.575510204;solo_01_03;s_g,b_key,b_dr
263.575510204;309.420408163;solo_01_04;s_g,b_key,b_dr
309.420408163;354.481632653;solo_01_05;s_g,b_key,b_dr
354.481632653;387.395918367;theme_02_01;ts,key,g,dr
387.395918367;432.979591836;solo_02_01;s_ts,b_key,b_dr
432.979591836;485.224489795;solo_02_02;s_ts,b_g,b_key,b_dr
485.224489795;529.763265306;solo_02_03;s_ts,b_g,b_key,b_dr
529.763265306;574.040816326;solo_02_04;s_ts,b_g,b_key,b_dr
574.040816326;617.926530612;solo_02_05;s_ts,b_g,b_key,b_dr
617.926530612;662.0734693869999;solo_02_06;s_ts,b_g,b_key,b_dr
662.0734693869999;697.208163264;solo_02_07;s_ts,b_g,b_key,b_dr
697.208163264;715.4933333333332;silence;
