region_start;region_end;label;instrument
0.0;3.25079365;silence;
3.25079365;11.633197277999999;intro;p
11.702857142000001;36.873287981000004;theme_01_01;ts,tb,p,b,dr
36.942947845;62.252698411;solo_01_01;s_tb,b_ts,b_p,b_b,b_dr
62.252698412;87.492789114;solo_01_02;s_tb,b_p,b_b,b_dr
87.492789115;112.10594104199998;solo_01_03;s_tb,b_ts,b_p,b_b,b_dr
112.10594104299999;136.602993197;solo_01_04;s_tb,b_ts,b_p,b_b,b_dr
136.60299319700002;160.98394557700001;solo_01_05;s_tb,b_ts,b_p,b_b,b_dr
160.983945578;185.22557823100001;solo_01_06;s_tb,b_p,b_b,b_dr
185.225578231;209.304671201;solo_01_08;s_tb,b_ts,b_p,b_b,b_dr
209.304671201;233.592743763;solo_01_09;s_tb,b_ts,b_p,b_b,b_dr
233.569523809;257.811156462;solo_02_01;s_ts,b_p,b_b,b_dr
257.811156462;281.588390022;solo_02_02;s_ts,b_p,b_b,b_dr
281.588390022;305.551383219;solo_02_03;s_ts,b_p,b_b,b_dr
305.551383219;329.166077096;solo_02_04;s_ts,b_tb,b_p,b_b,b_dr
329.18929705200003;352.71111111000005;solo_02_05;s_ts,b_tb,b_p,b_b,b_dr
352.734331065;376.395464851;solo_02_06;s_ts,b_p,b_b,b_dr
376.395464852;399.91727891;solo_02_07;s_ts,b_tb,b_p,b_b,b_dr
399.940498866;423.648072562;solo_03_01;s_ts,s_tb,b_p,b_b,b_dr
423.648072562;446.937687074;solo_03_02;s_ts,s_tb,b_p,b_b,b_dr
446.960907029;470.134421768;solo_03_03;s_ts,s_tb,b_p,b_b,b_dr
470.18086167800004;493.37759637100004;solo_03_04;s_ts,s_tb,b_p,b_b,b_dr
493.424036281;536.8917913829999;theme_02_01;ts,tb,p,b,dr
536.8917913829999;546.4933333333332;silence;
