region_start;region_end;label;instrument
0.0;0.44117913799999997;silence;
0.44117913799999997;8.591383219;intro;tp,ts,p,b,dr
8.591383218999999;35.665850339;theme_01_01;tp,ts,p,b,dr
35.66585034;63.320816326;solo_01_01;s_ts,b_tp,b_tb,b_p,b_b,b_dr
63.320816326000006;87.77142857000001;solo_01_02;s_ts,b_tp,b_tb,b_p,b_b,b_dr
87.771428571;114.869115645;solo_02_01;s_tp,b_p,b_b,b_dr
114.869115646;140.039546485;solo_02_02;s_tp,b_p,b_b,b_dr
140.039546485;167.833832199;solo_02_03;s_tp,b_p,b_b,b_dr
167.833832199;185.689977323;outro;tp,ts,p,b,dr
185.689977323;189.0;silence;
