region_start;region_end;label;instrument
0.0;0.261224489;silence;
0.261224489;34.742857142;intro;ts,p,g,b,dr
34.873469387;78.367346938;theme_01_01;ts,p,g,b,dr
78.367346938;121.338775509;solo_01_01;s_ts,b_p,b_b,b_dr
121.33877551;163.657142856;solo_01_02;s_ts,b_p,b_b,b_dr
163.657142857;205.191836734;solo_01_03;s_ts,b_g,b_p,b_b,b_dr
205.19183673400002;246.59591836600003;solo_02_01;s_g,b_p,b_b,b_dr
246.595918367;288.26122448899997;solo_02_02;s_g,b_p,b_b,b_dr
288.130612244;326.530612244;solo_02_03;s_g,b_p,b_b,b_dr
326.530612244;368.58775510099997;solo_03_01;s_p,b_b,b_dr
368.58775510199996;407.510204081;solo_03_02;s_p,b_b,b_dr
407.510204081;448.26122448899997;solo_03_03;s_p,b_b,b_dr
448.261224489;490.448979591;solo_04_01;s_dr,b_ts,b_g,b_p,b_dr
490.448979591;533.942857142;theme_02_01;ts,p,g,b,dr
533.942857142;588.2775510189999;outro;ts,p,g,b,dr
588.2775510189999;596.167596371882;silence;
