region_start;region_end;label;instrument
0.0;0.243809523;silence;
0.243809523;24.20680272;intro;g,as,b,dr
24.206802721;59.26893423999999;theme_01_01;as,g,b,dr
59.26893424;93.36743764100001;solo_01_01;s_as,b_g,b_b,b_dr
93.355827664;128.42956916;solo_01_02;s_as,b_g,b_b,b_dr
128.42956916;163.09696145;solo_01_03;s_as,b_g,b_b,b_dr
163.096961451;198.031383219;solo_02_01;s_b,b_g,b_dr
198.03138321900002;232.40852607600002;solo_02_02;s_b,b_g,b_dr
232.408526077;267.969886621;solo_02_03;s_b,b_g,b_dr
267.969886621;302.997188208;solo_03_01;s_g,b_b,b_dr
302.997188208;336.468752833;solo_03_02;s_g,b_b,b_dr
336.46875283400004;368.37297052100007;solo_03_03;s_g,b_b,b_dr
368.37297052099996;402.71528344599994;theme_02_01;as,g,b,dr
402.715283446;432.912834466;theme_02_02;as,g,b,dr
432.912834466;441.92;silence;
