region_start;region_end;label;instrument
0.0;0.522448979;silence;
0.522448979;16.848979591;intro;p,b,dr
16.848979591;49.371428571;theme_01_01;tp,tb,p,b,dr
49.371428571;82.285714285;theme_01_02;tp,tb,p,b,dr
82.285714285;115.330612244;solo_01_01;s_tp,b_p,b_b,b_dr
115.330612244;148.636734693;solo_01_02;s_tp,b_p,b_b,b_dr
148.636734693;182.595918367;solo_01_03;s_tp,b_p,b_b,b_dr
182.595918367;216.16326530599997;solo_01_04;s_tp,b_p,b_b,b_dr
216.16326530599997;249.6;solo_01_05;s_tb,b_p,b_b,b_dr
249.6;282.51428571400004;solo_02_01;s_tb,b_p,b_b,b_dr
282.51428571400004;315.428571428;solo_02_02;s_tb,b_p,b_b,b_dr
315.428571428;348.734693877;solo_02_03;s_tb,b_p,b_b,b_dr
348.734693877;381.518367346;solo_03_01;s_p,b_b,b_dr
381.518367346;413.91020408099996;solo_03_02;s_p,b_b,b_dr
413.91020408099996;446.171428571;solo_04_01;s_b,b_p,b_dr
446.171428571;485.485714285;theme_02_01;tp,tb,p,b,dr
485.485714285;493.4008163265306;silence;
