region_start;region_end;label;instrument
0.0;0.092879818;silence;
0.092879818;15.348390022;theme_01_01;ts,as,p,g,b,dr
15.348390022;30.557460316000004;theme_01_02;ts,as,p,g,b,dr
30.557460316999997;45.534331064999996;solo_01_01;s_g,b_p,b_b,b_dr
45.534331065;60.395102040000005;solo_01_02;s_g,b_p,b_b,b_dr
60.39510204;75.279092969;solo_02_01;s_ts,b_g,b_p,b_b,b_dr
75.27909297;90.395283446;solo_02_02;s_ts,b_g,b_p,b_b,b_dr
90.39528344600001;105.348934239;solo_03_01;s_as,b_g,b_p,b_b,b_dr
105.34893424;120.16326530500001;solo_03_02;s_as,b_g,b_p,b_b,b_dr
120.163265306;134.768616779;solo_04_01;s_p,b_g,b_b,b_dr
134.76861678;149.675827664;solo_04_02;s_p,b_g,b_b,b_dr
149.675827664;167.346213151;theme_02_01;ts,as,g,p,b,dr
167.346213151;170.0;silence;
