region_start;region_end;label;instrument
0.0;0.278639455;silence;
0.278639455;25.03111111;theme_01_01;as,b,dr
25.031111110999998;49.737142856999995;solo_01_01;s_as,b_b,b_dr
49.783582766;73.00353741400001;solo_01_02;s_as,b_b,b_dr
73.003537414;97.245170067;solo_01_03;s_as,b_b,b_dr
97.245170068;121.254603174;solo_01_04;s_as,b_b,b_dr
121.254603174;147.307392289;solo_01_05;s_as,b_b,b_dr
147.30739229;171.92054421699999;solo_01_06;s_as,b_b,b_dr
171.920544217;196.48725623500002;solo_01_07;s_as,b_b,b_dr
196.487256235;221.657687074;solo_02_01;s_b,b_dr
221.65768707400002;248.96435374000004;solo_02_02;s_b,b_dr
248.964353741;275.574421768;solo_02_03;s_b,b_dr
275.574421768;299.583854874;solo_03_01;s_as,s_dr,b_b
299.583854875;323.732607709;solo_03_02;s_as,s_dr,b_b
323.73260770900004;350.24979591700003;solo_03_03;s_as,s_dr,b_b
350.269387755;383.05306122400003;theme_02_01;as,b,dr
383.05306122400003;387.7866666666667;silence;
