region_start;region_end;label;instrument
0.0;0.522448979;silence;
0.522448979;28.995918365999998;intro;g
29.72154195;95.851972789;solo_01_01;s_as,b_g,b_dr
96.595011337;162.725442176;solo_01_02;s_as,b_g,b_dr
162.725442176;224.397641722;solo_01_03;s_as,b_g,b_dr
224.397641723;297.958458049;theme_01_01;as,g,b,dr
298.05714285700003;367.28163265200004;solo_02_01;s_g,b_as,b_b,b_dr
367.28163265300003;437.812244897;solo_02_02;s_g,b_b,b_dr
437.81224489699997;499.19999999899994;solo_02_03;s_g,b_b,b_dr
499.2;561.632653061;solo_03_01;s_b,b_g,b_dr
561.6326530609999;627.1999999989999;solo_03_02;s_b,b_g,b_dr
627.2;684.930612244;solo_04_01;s_as,b_g,b_b,b_dr
684.930612244;745.0122448970001;solo_04_02;s_as,b_g,b_b,b_dr
745.012244897;802.742857141;solo_04_03;s_as,b_g,b_b,b_dr
802.7428571419999;834.089795917;theme_02_01;as,g,b,dr
834.089795918;877.191836734;outro;g,b,dr
877.191836734;877.96;silence;
