region_start;region_end;label;instrument
0.0;1.021678004;silence;
1.021678004;16.068208616;intro;tp,as,p,b,dr
16.068208616;38.173605441;theme_01_01;tp,as,g,p,b,dr
38.173605441999996;60.325442175999996;theme_01_02;tp,as,g,p,b,dr
60.325442176;82.43083900100001;solo_01_01;s_as,b_p,b_b,b_dr
82.430839002;104.21115646199999;solo_01_02;s_as,b_p,b_b,b_dr
104.211156462;126.13079365000002;solo_01_03;s_as,b_p,b_b,b_dr
126.13079365;148.468390021;solo_02_01;s_fln,b_p,b_b,b_dr
148.468390022;170.620226756;solo_02_02;s_fln,b_p,b_b,b_dr
170.620226757;192.493424035;solo_02_03;s_fln,b_p,b_b,b_dr
192.493424036;214.041541949;solo_03_01;s_p,b_b,b_dr
214.04154195;235.40390022600002;solo_03_02;s_p,b_b,b_dr
235.403900226;256.48761904599996;solo_03_03;s_p,b_b,b_dr
256.487619047;278.453696144;solo_04_01;s_as,b_p,b_b,b_dr
278.453696145;300.466213151;solo_04_02;s_as,b_p,b_b,b_dr
300.466213151;321.96789115499996;solo_04_03;s_as,b_p,b_b,b_dr
321.967891156;343.516009069;solo_05_01;s_b,b_p,b_dr
343.51600907;364.135328797;solo_05_02;s_b,b_p,b_dr
364.08888888800004;385.91564625700005;theme_02_01;tp,as,g,p,b,dr
385.91564625800004;412.75791383100005;theme_02_02;tp,as,g,p,b,dr
412.75791383100005;416.6008163265306;silence;
