segment_start;segment_end;label;instrument
0.0;0.783673469;silence;
0.783673469;4.244897959;intro;p
4.244897959;32.81632653;theme_01_01;ts,tb,p,b,dr
32.81632653;61.257142857;solo_01_01;s_tb,b_p,b_b,b_dr
61.257142857;89.567346938;solo_01_02;s_tb,b_p,b_b,b_dr
89.567346938;116.473469387;solo_01_03;s_tb,b_p,b_b,b_dr
116.473469387;144.293877551;solo_01_04;s_tb,b_p,b_b,b_dr
144.293877551;171.951020408;solo_01_05;s_tb,b_p,b_b,b_dr
171.951020408;199.608163265;solo_02_01;s_ts,b_p,b_b,b_dr
199.608163265;225.959183673;solo_02_02;s_ts,b_p,b_b,b_dr
225.959183673;251.820408163;solo_02_03;s_ts,b_tb,b_p,b_b,b_dr
251.820408163;278.4;solo_02_04;s_ts,b_tb,b_p,b_b,b_dr
278.4;306.579591836;solo_02_05;s_ts,b_p,b_b,b_dr
306.579591836;331.787755102;solo_02_06;s_ts,b_p,b_b,b_dr
331.787755102;358.13877551;solo_02_07;s_ts,b_p,b_b,b_dr
358.13877551;384.718367346;solo_02_08;s_ts,b_p,b_b,b_dr
384.718367346;410.775510204;solo_03_01;s_ts,s_tb,b_p,b_b,b_dr
410.775510204;437.257142857;solo_03_02;s_ts,s_tb,b_p,b_b,b_dr
437.257142857;471.83673469300004;theme_02_01;ts,tb,p,b,dr
471.83673469300004;480.50666666666666;silence;
