region_start;region_end;label;instrument
0.0;0.743038548;silence;
0.743038548;9.287981858;intro;dr,b
9.287981859;54.241814057999996;theme_01_01;ts,p,b,dr
54.241814058;99.19564625699999;theme_01_02;ts,p,b,dr
99.195646258;140.991564625;solo_01_01;s_ts,b_p,b_b,b_dr
140.991564625;177.028934239;solo_01_02;s_ts,b_p,b_b,b_dr
177.02893424;218.267573695;solo_02_01;s_p,b_b,b_dr
218.26757369599997;257.46285714199996;solo_02_02;s_p,b_b,b_dr
257.462857142;301.302131518;theme_02_01;ts,p,b,dr
301.302131519;346.81324263;theme_02_02;ts,p,b,dr
346.81324263;356.68;silence;
