region_start;region_end;label;instrument
0.0;0.6965986390000001;silence;
0.6965986390000001;17.159546484;intro;p,b,dr
17.229206349000002;81.618140589;theme_01_01;tp,ts,p,b,dr
81.664580498;144.96217686900002;solo_01_01;s_tp,b_p,b_b,b_dr
145.031836734;212.160725622;solo_01_02;s_tp,b_p,b_b,b_dr
212.183945578;277.919637187;solo_02_01;s_ts,b_p,b_b,b_dr
277.989297052;341.93705215399996;solo_02_02;s_ts,b_p,b_b,b_dr
341.98349206299997;405.46684807199995;solo_03_01;s_p,b_b,b_dr
405.53650793599996;470.38984126899993;solo_04_01;s_tp,s_ts,b_p,b_b,b_dr
470.436281179;538.354648525;theme_02_01;tp,ts,p,b,dr
538.354648525;539.6933333333334;silence;
