segment_start;segment_end;label;instrument
0.0;0.696598639;silence;
0.696598639;17.229206349;intro;p,b,dr
17.229206349;81.664580498;theme_01_01;tp,ts,p,b,dr
81.664580498;145.031836734;solo_01_01;s_tp,b_p,b_b,b_dr
145.031836734;212.183945578;solo_01_02;s_tp,b_p,b_b,b_dr
212.183945578;277.989297052;solo_02_01;s_ts,b_p,b_b,b_dr
277.989297052;341.983492063;solo_02_02;s_ts,b_p,b_b,b_dr
341.983492063;405.536507936;solo_03_01;s_p,b_b,b_dr
405.536507936;470.436281179;solo_04_01;s_tp,s_ts,b_p,b_b,b_dr
470.436281179;538.354648525;theme_02_01;tp,ts,p,b,dr
538.354648525;539.6933333333334;silence;
