region_start;region_end;label;instrument
0.0;0.41795918299999996;silence;
0.41795918299999996;6.965986393;intro;p
6.965986394;61.509659862999996;theme_01_01;ts,p,b,dr
61.509659863;116.633832198;solo_01_01;s_ts,b_p,b_b,b_dr
116.657052154;172.477823129;solo_01_02;s_ts,b_b,b_dr
172.47782312900003;228.67011337800002;solo_01_03;s_ts,b_b,b_dr
228.670113378;285.187482992;solo_02_01;s_p,b_b,b_dr
285.187482993;341.426213151;solo_02_02;s_p,b_b,b_dr
341.47265306099996;400.869297051;theme_02_01;ts,p,b,dr
400.869297051;403.18666666666667;silence;
