region_start;region_end;label;instrument
0.0;0.13061224400000002;silence;
0.13061224400000002;5.453061224;intro;p,b,dr
5.453061224;21.35510204;theme_01_01;tp,tb,ts,p,b,dr
21.35510204;37.31446712;theme_01_02;tp,tb,ts,p,b,dr
37.31446712;52.616417233;solo_01_01;s_tb,b_p,b_b,b_dr
52.616417233;68.475646258;solo_01_02;s_tb,b_p,b_b,b_dr
68.475646258;84.21877551;solo_02_01;s_ts,b_p,b_b,b_dr
84.21877551;99.89224489700001;solo_02_02;s_ts,b_p,b_b,b_dr
99.89224489700001;115.646984126;solo_03_01;s_tp,b_p,b_b,b_dr
115.646984126;132.04027210799998;solo_02_01;s_ts,b_p,b_b,b_dr
132.04027210799998;148.166530612;solo_04_01;s_p,b_b,b_dr
148.166530612;164.21151927399998;solo_04_02;s_p,b_b,b_dr
164.21151927399998;180.511927437;theme_02_01;tp,tb,ts,p,b,dr
180.511927437;197.021315192;theme_02_02;tp,tb,ts,p,b,dr
197.021315192;200.0;silence;
