region_start;region_end;label;instrument
0.0;0.293877551;silence;
0.293877551;5.991836734;intro;p,dr
5.991836734;23.330612244;theme_01_01;as,tp,p,b,dr
23.330612244;40.27755102;solo_01_01;s_as,b_p,b_b,b_dr
40.27755102;57.453061223999995;solo_01_02;s_as,b_p,b_b,b_dr
57.453061223999995;74.497959183;solo_01_03;s_as,b_p,b_b,b_dr
74.497959183;91.836734693;solo_02_01;s_tp,b_p,b_b,b_dr
91.836734693;108.995918367;solo_02_02;s_tp,b_p,b_b,b_dr
108.995918367;125.991836734;solo_03_01;s_p,b_b,b_dr
125.991836734;142.857142857;solo_03_02;s_p,b_b,b_dr
142.857142857;160.17959183600001;theme_02_01;as,tp,p,b,dr
160.17959183600001;165.66530612100001;outro;as,tp,p,b,dr
165.66530612100001;169.08;silence;
