region_start;region_end;label;instrument
0.0;0.325079365;silence;
0.325079365;10.216780045;intro;p
10.216780045;48.297505668;theme_01_01;p,b,dr
48.297505668;86.00671201799999;solo_01_01;s_p,b_b,b_dr
86.00671201799999;122.926439909;solo_01_02;s_p,b_b,b_dr
122.926439909;160.914285714;solo_02_01;s_as,b_p,b_b,b_dr
160.914285714;198.53061224400003;solo_02_02;s_as,b_p,b_b,b_dr
198.53061224400003;236.936417233;solo_02_03;s_as,b_p,b_b,b_dr
236.936417233;274.970702947;solo_03_01;s_g,b_p,b_b,b_dr
274.970702947;310.357913832;solo_03_02;s_g,b_p,b_b,b_dr
310.357913832;346.25596371800003;solo_03_03;s_g,b_p,b_b,b_dr
346.25596371800003;393.810430838;theme_02_01;p,as,g,b,dr
393.810430838;399.76;silence;
