region_start;region_end;label;instrument
0.0;0.326530612;silence;
0.326530612;8.228571428;intro;p,b,dr
8.228571428;39.314285714;theme_01_01;ts,as,g,p,b,dr
39.314285714;71.314285714;solo_01_01;s_ts,b_g,b_p,b_b,b_dr
71.314285714;103.575510204;solo_02_01;s_as,b_g,b_p,b_b,b_dr
103.575510204;134.46530612200002;solo_03_01;s_ts,b_g,b_p,b_b,b_dr
134.46530612200002;166.334693877;solo_04_01;s_as,b_g,b_p,b_b,b_dr
166.334693877;197.61632653;solo_05_01;s_p,b_g,b_b,b_dr
197.61632653;228.44081632599998;theme_02_01;ts,as,g,p,b,dr
228.44081632599998;263.379591836;theme_02_02;ts,as,g,p,b,dr
263.379591836;267.93333333333334;silence;
