region_start;region_end;label;instrument
0.0;0.65015873;silence;
0.65015873;7.151746031;intro;dr
7.151746031;47.182947845;theme_01_01;ts,b,dr
47.275827664;88.978866212;solo_01_01;s_ts,b_b,b_dr
89.07755102;130.873469387;solo_01_02;s_ts,b_b,b_dr
130.873469387;174.759183672;solo_01_03;s_ts,b_b,b_dr
174.759183673;218.38367346799998;solo_01_04;s_ts,b_b,b_dr
218.383673469;276.375510203;solo_01_05;s_ts,b_b,b_dr
276.636734693;341.420408162;solo_02_01;s_ts,s_dr,b_b
341.420408163;380.865306122;outro;dr
380.865306122;386.4565759637188;silence;
