segment_start;segment_end;label;instrument
0.0;0.048979591;silence;
0.048979591;7.47755102;intro;p,g,b,dr
7.47755102;38.008163265;theme_01_01;tp,tb,g,p,b,dr
38.008163265;68.881632653;solo_01_01;s_tb,b_g,b_p,b_b,b_dr
68.881632653;99.75510204;solo_02_01;s_tp,b_g,b_p,b_b,b_dr
99.75510204;130.791836734;solo_02_02;s_tp,b_g,b_p,b_b,b_dr
130.791836734;162.106122448;solo_03_01;s_ts,b_g,b_p,b_b,b_dr
162.106122448;193.289795918;solo_03_02;s_ts,b_g,b_p,b_b,b_dr
193.289795918;229.01224489700002;theme_02_01;tp,tb,ts,g,p,b,dr
229.01224489700002;231.90666666666667;silence;
