segment_start;segment_end;label;instrument
0.0;0.522448979;silence;
0.522448979;49.110204081000006;theme_01_01;tp,b
49.110204081000006;98.22040816299999;solo_01_01;s_tp,b_p,b_b,b_dr
98.22040816299999;146.285714285;solo_02_01;s_bs,b_p,b_b,b_dr
146.285714285;194.612244897;solo_02_02;s_bs,b_p,b_b,b_dr
194.612244897;242.67755102;solo_03_01;s_fl,b_p,b_b,b_dr
242.67755102;290.742857142;solo_03_02;s_fl,b_p,b_b,b_dr
290.742857142;339.069387755;solo_04_01;s_p,b_b,b_dr
339.069387755;387.657142857;solo_04_02;s_p,b_b,b_dr
387.657142857;438.33469387699995;solo_05_01;s_b
438.33469387699995;487.70612244800003;solo_05_02;s_b
487.70612244800003;537.8612244880001;theme_02_01;tp,p,b,dr
537.8612244880001;541.9333333333333;silence;
