segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;8.684263038;intro;p,b,dr
8.684263038;41.447619047;theme_01_01;tp,p,b,dr
41.447619047;72.562358276;solo_01_01;s_tp,b_p,b_b,b_dr
72.562358276;102.098140589;solo_01_02;s_tp,b_p,b_b,b_dr
102.098140589;131.378503401;solo_02_01;s_p,b_b,b_dr
131.378503401;159.8461678;solo_02_02;s_p,b_b,b_dr
159.8461678;190.519727891;solo_03_01;s_tb,b_p,b_b,b_dr
190.519727891;220.473469387;solo_03_02;s_tb,b_p,b_b,b_dr
220.473469387;249.614512471;solo_04_01;s_tp,s_dr,b_p,b_b
249.614512471;278.43047619;solo_04_02;s_tp,s_dr,s_tb,b_p,b_b
278.43047619;322.571609976;theme_02_01;tp,tb,p,b,dr
322.571609976;327.5232653061224;silence;
