segment_start;segment_end;label;instrument
0.0;0.20897959100000002;silence;
0.20897959100000002;6.3158276639999995;intro;p,b,dr
6.3158276639999995;52.616417233;theme_01_01;tp,ts,p,b,dr
52.616417233;99.40462585;solo_01_01;s_ts,b_p,b_b,b_dr
99.40462585;146.355374149;solo_02_01;s_p,b_b,b_dr
146.355374149;193.07392290200002;solo_03_01;s_tp,b_p,b_b,b_dr
193.07392290200002;239.862131519;solo_03_02;s_tp,b_p,b_b,b_dr
239.862131519;285.48934240299997;solo_04_01;s_dr
285.48934240299997;329.9323356;solo_04_02;s_dr
329.9323356;380.876916098;theme_02_01;tp,ts,p,b,dr
380.876916098;383.72;silence;
