region_start;region_end;label;instrument
0.0;24.718367345999997;silence;
24.718367345999997;54.43265306;theme_01_01;ts,b
54.432653061;83.23265306100001;solo_01_01;s_b
83.23265306100001;111.804081632;solo_01_02;s_b
111.804081632;140.57142857000002;solo_02_01;s_ts,b_b
140.571428571;169.56734693800001;solo_02_02;s_ts,b_b
169.567346938;198.399999999;solo_02_03;s_ts,b_b
198.4;228.212244897;solo_02_04;s_ts,b_b
228.212244897;256.555102039;solo_02_05;s_ts,b_b
256.55510204;284.37551020300003;solo_02_06;s_ts,b_b
284.58376417200003;306.317641723;outro;ts,b
306.317641723;307.64;silence;
