region_start;region_end;label;instrument
0.0;0.325079365;silence;
0.325079365;9.798820861000001;intro;cor,tb,cl,p,bjo
9.798820861;27.910385486;theme_01_01;cor,p,bjo
27.910385487;45.975510203;theme_01_01;cor,p,bjo
45.975510203999995;64.04063492;solo_01_01;s_cl,b_p,b_bjo
64.04063492;82.152199545;solo_01_02;s_cl,b_p,b_bjo
82.152199546;100.031564625;solo_02_01;s_voc,b_bjo
100.031564625;118.46820861500001;solo_02_02;s_voc,b_bjo
118.468208616;139.737687074;solo_02_03;s_voc,b_p,b_bjo
139.737687074;157.013333332;solo_03_01;s_tb,b_p,b_bjo
156.966893424;181.162086167;theme_02_01;cor,tb,cl,p,bjo
181.162086167;186.6266666666667;silence;
