region_start;region_end;label;instrument
0.0;0.278639455;silence;
0.278639455;16.346848072;theme_01_01;ts,p,b,dr
16.346848072;32.229297052;theme_01_02;ts,p,b,dr
32.229297052;48.111746031;solo_01_01;s_p,b_b,b_dr
48.111746031;63.994195011;solo_01_02;s_p,b_b,b_dr
63.994195011;79.690884353;solo_01_03;s_p,b_b,b_dr
79.690884353;95.66621315100001;solo_01_04;s_p,b_b,b_dr
95.66621315100001;111.270022675;solo_02_01;s_ts,b_p,b_b,b_dr
111.270022675;127.338231292;solo_02_02;s_ts,b_p,b_b,b_dr
127.338231292;142.29188208600002;solo_02_03;s_ts,b_p,b_b,b_dr
142.29188208600002;158.824489795;solo_02_04;s_ts,b_p,b_b,b_dr
158.824489795;174.14965986299998;solo_02_05;s_ts,b_p,b_b,b_dr
174.14965986299998;189.28907029400003;theme_02_01;ts,p,b,dr
189.28907029400003;210.18702947700004;theme_02_02;ts,p,b,dr
210.18702947700004;214.70666666666668;silence;
