region_start;region_end;label;instrument
0.0;0.743038548;silence;
0.743038548;56.09941043;intro;ss,p,b,dr
56.09941043;117.58585033899999;theme_01_01;ss,p,b,dr
117.58585034;168.669750566;solo_01_01;s_ss,b_p,b_b,b_dr
168.22857142799998;218.906122448;solo_01_02;s_ss,b_p,b_b,b_dr
218.906122448;261.746938774;theme_02_01;p,b,dr
261.746938775;310.073469387;solo_02_01;s_p,b_b,b_dr
310.073469387;356.57142856999997;solo_02_02;s_p,b_b,b_dr
356.571428571;402.80816326400003;theme_03_01;ss,p,b,dr
402.546938775;448.783673468;theme_03_02;ss,p,b,dr
448.783673469;474.122448979;outro;ss,p,b,dr
474.122448979;480.0271882086168;silence;
