region_start;region_end;label;instrument
0.0;0.326530612;silence;
0.326530612;5.61632653;intro;bjo
5.61632653;29.779591835999998;theme_01_01;cor,cl,tb,bjo,p
29.779591835999998;54.334693877;theme_01_02;cor,cl,tb,bjo,p
54.334693877;79.21632653;solo_01_01;s_cor,b_bjo,b_p
79.21632653;106.024489795;solo_01_02;s_cor,b_bjo,b_p
106.024489795;134.07346938700002;solo_01_03;s_cor,s_cl,b_bjo,b_p
134.07346938700002;160.653061224;solo_02_01;s_cl,s_tb,b_bjo,b_p
160.653061224;187.46122448900002;solo_03_01;s_tb,s_tp,s_cl,b_bjo,b_p
187.46122448900002;202.12244897800002;outro;cor,cl,tb,bjo,p
202.12244897800002;207.96;silence;
