region_start;region_end;label;instrument
0.0;0.19591836699999998;silence;
0.19591836699999998;19.722448979000003;intro;dr,b,p
19.722448979;44.473469387;theme_01_01;tp,ts,p,b,dr
44.473469387;70.26938775400001;theme_01_02;tp,ts,p,b,dr
70.269387755;94.759183673;solo_01_01;s_tp,b_p,b_b,b_dr
94.759183673;119.510204081;solo_01_02;s_tp,b_p,b_b,b_dr
119.510204081;144.391836734;solo_01_03;s_tp,b_p,b_b,b_dr
144.391836734;169.404081631;solo_01_04;s_tp,b_p,b_b,b_dr
169.40408163200001;194.873469387;solo_02_01;s_ts,b_p,b_b,b_dr
194.873469387;220.60408163099999;solo_02_02;s_ts,b_p,b_b,b_dr
220.604081632;245.485714285;solo_03_01;s_p,b_b,b_dr
245.485714285;270.302040815;solo_03_02;s_p,b_b,b_dr
270.302040816;295.379591836;theme_02_01;tp,ts,p,b,dr
295.379591836;321.11020407999996;theme_02_02;tp,ts,p,b,dr
321.110204081;331.951020407;outro;dr,b,p
331.951020407;336.6533333333333;silence;
