region_start;region_end;label;instrument
0.0;0.371519274;silence;
0.371519274;37.61632653;theme_01_01;g,p,b,dr
37.61632653;72.23727891;solo_01_01;s_g,b_p,b_b,b_dr
72.28371882;105.65079364900001;solo_01_02;s_g,b_p,b_b,b_dr
105.69723356;140.202086167;solo_02_01;s_as,b_g,b_b,b_dr
140.248526077;174.869478457;solo_02_02;s_as,b_tp,b_g,b_b,b_dr
174.91591836700002;209.30467120100002;solo_03_01;s_tp,b_p,b_b,b_dr
209.327891156;242.996825396;solo_03_02;s_tp,b_p,b_b,b_dr
243.043265306;276.71219954599997;solo_04_01;s_p,b_b,b_dr
276.758639455;310.265034012;solo_04_02;s_p,b_b,b_dr
310.311473922;344.58412698300003;solo_05_01;s_b,b_g,b_dr
344.63056689300004;378.206621314;solo_06_01;s_g,b_p,b_b,b_dr
378.253061224;422.835374149;theme_02_01;g,p,b,dr
422.835374149;427.06666666666666;silence;
